STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.000044235 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region viterbi_omp_opt,Group 1 Raw,FLOPS_DP,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,
RDTSC Runtime [s],0.376874,0.376887,0.376769,0.376844,0.376563,0.376532,0.376481,0.376590,0.376578,0.376808,0.376487,0.376496,0.376451,0.376507,0.376541,0.376810,0.376562,0.376842,0.376828,0.376500,0.376487,0.376475,0.376894,0.376837,0.376755,0.376570,0.376529,0.376486,0.376799,0.376471,0.376469,0.376789,0.376523,0.376559,0.376547,0.376495,0.376514,0.376464,0.376509,0.376922,0.376576,0.376860,0.376895,0.376844,0.376820,0.376435,0.376413,0.376606,0.376475,0.376566,0.376483,0.376486,0.376466,0.376502,0.376474,0.376534,0.376356,0.376370,0.376356,0.376435,0.376798,0.376422,0.376449,0.376363,0.376432,0.376438,0.376405,0.376425,0.376431,0.376491,0.376426,0.376427,0.376403,0.376839,0.376446,0.376435,0.376557,0.376441,0.376399,0.376425,0.376510,0.376439,0.376423,0.376375,0.376424,0.376479,0.376511,0.376440,0.376379,0.376449,0.376430,0.376410,0.376470,0.376466,0.376457,0.376425,0.376481,0.376418,0.376360,0.376405,0.376406,0.376414,0.376814,0.376441,0.376389,0.376776,0.376402,0.376400,0.376410,0.376394,0.376439,0.376455,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
INSTR_RETIRED_ANY,FIXC0,207471000,207484100,207492200,207450600,207351900,207415500,207351100,207362100,207326000,207339900,207321400,207317000,203044200,203023800,203029100,202998800,202520400,202531800,207488600,207314300,207308800,207354500,207342300,207385000,207420300,207378600,207375000,207347100,207395300,207493800,207478600,207457200,207443700,207430100,207472500,207327500,207393300,207471300,207336000,207442700,207470700,207373600,207458600,207431900,207414100,207447700,207376100,207425400,207405400,207457600,207415500,207399600,207447200,207466000,207361600,207419200,207418700,207349000,207393200,207416600,207334300,202549200,202559000,202570500,202711100,207302700,202581600,207263600,202580900,202557600,207255300,203038200,207239000,203052000,203012600,207239500,203010800,203012700,203006900,202992100,207227800,207264500,202584000,202989300,203028300,202578400,203026700,202571800,207279300,207247500,207230500,202562300,207269300,202543300,202998700,207264100,207263200,203048900,207282800,202530300,202537400,202539000,202536700,207259700,207289300,202574000,207280000,207283900,207226600,202541400,207283100,203021900
CPU_CLK_UNHALTED_CORE,FIXC1,113019100,112405700,109917100,109572100,110099600,109999500,108783700,108695600,108278100,107999800,107399600,108401200,99584140,98585530,98891180,100367300,97828840,98320370,110945900,111187500,110074900,110081200,108739700,109888700,109786000,109969600,109705300,110068700,110347500,111443300,111567400,111404000,110876400,109094400,111053800,108470000,111180900,111417800,109423000,111130200,111120800,112967000,111821500,112185000,111979200,111754000,112708100,111177200,111481100,110643400,111380300,111370100,111716900,112115300,112110800,112160100,118075600,120007500,119895200,118872000,119731300,97040820,97279870,96902760,96866920,112876600,96992460,112414900,97435300,97262610,111736500,98358550,111800400,98104720,97995020,112861600,97092710,97543940,97285220,97718570,112042600,113182900,97376620,98030420,98680240,96973100,97872620,97066440,116928700,111903100,112775400,97072100,113176500,97331060,98258060,111943300,112953900,97472540,112953400,99143000,97944040,97592770,97321670,112413700,114974100,97618580,115551400,113690900,112343700,97625840,115124600,97720800
CPU_CLK_UNHALTED_REF,FIXC2,75331920,74926320,73262960,73036720,73386960,73322400,72511920,72452240,72176080,71987760,71596160,72260960,66379680,65712400,65914720,66897040,65215440,65536480,73952720,74112960,73373280,73384160,72478720,73245440,73170800,73303600,73119600,73368880,73556560,74284880,74372720,74255760,73908960,72717280,74025040,72311920,74111120,74274400,72933440,74078320,74067280,75320880,74541440,74778800,74640800,74499040,75130960,74106480,74309680,73752320,74243600,74233920,74468160,74735440,74727840,74767600,78701520,79988240,79917520,79238400,79809520,64681760,64842400,64588400,64561200,75238640,64653440,74931680,64938400,64832400,74477840,65564400,74525280,65391280,65321600,75234320,64716800,65025200,64851920,65137840,74688000,75444560,64907040,65341040,65778720,64640000,65237600,64700240,77940160,74591600,75171200,64698960,75442960,64874400,65499120,74618320,75287840,64973520,75292880,66086160,65285040,65056320,64872480,74931840,76637280,65070720,77023440,75782800,74885200,65077840,76735840,65136320
TOPDOWN_SLOTS,FIXC3,678106500,674449200,659500300,657430600,660645900,660055200,652719300,652187800,649669900,648004400,644446100,650452100,597560700,591517400,593353000,602204100,587015000,589920600,665709100,667141700,660467900,660607400,652433700,659340400,658708600,659884600,658227700,660439500,662150800,668663600,669509900,668474000,665280600,654588300,666329200,650859800,667112100,668574300,656538200,666792500,666735100,677797300,670982700,673116900,671864600,670514400,676255900,667073000,668896400,663863000,668284400,668234700,670328600,672683600,672669300,672974500,708443900,720032700,719362500,713278900,718448300,582240600,583683300,581410900,581192200,677269800,581971300,674477300,584601500,583580600,670410400,590157700,670811200,588639500,588002400,677204900,582543900,585280800,583757900,586312700,672273800,679092300,584260200,588173100,592080600,581841100,587222000,582444100,701561300,671425500,676651000,582417700,679059600,583981900,589568000,671652100,677727800,584829700,677718200,594872000,587673700,585559400,583915100,674479600,689836000,585728200,693316000,682151500,674064400,585769300,690754000,586325500
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,56965580,56964420,56962150,56951790,56926290,56924060,56920690,56917310,56915110,56913230,56912830,56911710,56731290,56726790,56727920,56717790,56584320,56586120,56963270,56907460,56910390,56928540,56919450,56929250,56942620,56930300,56920190,56922960,56938430,56961030,56959850,56954030,56944990,56939520,56955200,56916230,56935560,56956400,56918410,56941350,56958760,56931270,56952980,56944350,56936170,56950680,56933000,56940780,56937200,56948480,56933420,56943710,56949570,56957470,56927450,56938220,56946160,56932070,56933320,56947330,56925210,56591520,56593320,56592430,56595180,56904130,56598720,56898810,56599620,56594220,56895910,56729040,56893800,56732420,56722290,56891510,56723420,56721170,56720040,56716670,56891960,56902290,56601420,56715540,56725670,56600520,56730170,56597820,56906110,56893290,56892400,56596020,56900450,56590620,56718920,56898720,56899600,56733540,56903100,56585220,56587020,56587920,56588820,56897800,56905910,56596920,56907680,56904910,56891490,56589720,56906720,56724540
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABLE,Region viterbi_omp_opt,Group 1 Raw STAT,FLOPS_DP,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
